"Sending Domain","Date","DateGroup","Sent","Delivered","Opens","Clicks","Unsubscribes","Disabled","Revenue","Complaints","Blocks","Hard Bounces","Soft Bounces","Raw Opens","Raw Clicks","Raw Unsubscribes","Raw Complaints","Raw Disabled"
"rg.expertjobmatch.com","2025-11-27","11/27","1019647","1019615","428519","5423","4738","23","1085.5715026387","0","9","4","19","549914","8575","4989","0","23"
"email1.rg.expertjobmatch.com","2025-12-06","12/06","1019622","1019610","446627","6968","6092","12","1340.343095745","0","0","9","3","586285","11686","6293","0","12"
"email1.rg.expertjobmatch.com","2026-01-16","01/16","1019600","1019592","467111","8018","6857","8","1379.1327093504","0","0","6","2","626877","11850","7115","0","8"
"yayjobs.net","2025-12-14","12/14","1019664","1019591","531812","5949","6703","73","887.95780582214","5476","0","5","68","736867","9591","7036","5476","73"
"email1.rg.expertjobmatch.com","2025-12-23","12/23","1019597","1019591","446940","6518","5542","6","1183.4368062271","0","0","3","3","596350","9934","5741","0","6"
"email1.rg.expertjobmatch.com","2026-01-07","01/07","1019494","1019487","479227","9239","7965","7","1704.9633147456","0","0","5","2","656096","13598","8249","0","7"
"email1.rg.expertjobmatch.com","2026-01-28","01/28","1019427","1019419","473201","8786","7811","8","1453.2118046191","0","0","4","4","654732","13201","8808","0","8"
"betterjobsonline.com","2025-11-14","11/14","1019450","1019383","516189","7736","8172","67","1288.1931018876","1","0","4","63","701055","11980","8551","1","67"
"rg.expertjobmatch.com","2025-11-13","11/13","1019343","1019313","472158","7969","7235","16","1633.0788964471","873","14","3","13","636346","11978","7841","873","16"
"email1.rg.expertjobmatch.com","2026-01-22","01/22","1019316","1019308","478605","8548","7665","8","1466.4681102354","0","0","5","3","654960","12669","8127","0","8"
"email1.rg.expertjobmatch.com","2026-02-02","02/02","1019291","1019282","492495","8645","7090","9","1530.6873059003","0","0","7","2","686078","12375","7378","0","9"
"betterjobsonline.com","2025-12-25","12/25","1019322","1019247","401691","5643","5793","74","860.87139732949","4606","1","4","70","527625","9214","6158","4606","74"
"yayjobs.net","2025-12-20","12/20","1019212","1019154","512261","5244","6129","58","692.3110975353","0","0","4","54","670397","8864","6544","0","58"
"yayjobs.net","2025-12-28","12/28","1018983","1018898","517070","6049","7617","85","983.75429973891","3627","0","4","81","685994","9844","8091","3627","85"
"yayjobs.net","2025-12-10","12/10","1018764","1018689","534655","6806","8712","74","1083.4575011944","4535","1","3","71","727222","10275","9144","4535","74"
